procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  86120 63622172   4000 903968    0    0  2516     0 1774  838  2  0 96  2  0
 1  1  86120 63621676   4000 903968    0    0  2156     4 1661  682  2  0 96  2  0
 1  1  86120 63621676   4000 903968    0    0  2376   246 1691  780  2  0 96  2  0
 1  1  86120 63621172   4000 903968    0    0  2748     0 1814  844  2  0 96  2  0
 1  1  86120 63620668   4000 903968    0    0  2248     0 1711  788  2  0 96  2  0
 1  1  86120 63620668   4000 903968    0    0  2584     0 1756  754  2  0 96  2  0
 1  1  86120 63620104   4000 903968    0    0  2444     8 1685  772  2  0 96  2  0
 1  1  86120 63619600   4000 903968    0    0  2824     0 1872  922  2  0 96  2  0
 1  1  86120 63619600   4000 903968    0    0  2296     0 1709  784  2  0 96  2  0
 1  1  86120 63619104   4000 903968    0    0  2332     0 1698  670  2  0 96  2  0
 1  1  86120 63618600   4000 903968    0    0  2436     0 1658  754  2  0 96  2  0
 1  1  86120 63618096   4000 903968    0    0  2456     0 1718  702  2  0 96  2  0
 1  1  86120 63618096   4000 903968    0    0  2388     8 1748  806  2  0 96  2  0
 1  1  86120 63618096   4000 903968    0    0  2632     0 1800  844  2  0 96  2  0
 1  1  86120 63617600   4000 903968    0    0  2864     0 1772  866  2  0 96  2  0
 1  1  86120 63617600   4000 903968    0    0  2760     0 1829  842  2  0 96  2  0
 1  1  86120 63617096   4000 903968    0    0  2208     0 1692  766  2  0 96  2  0
 1  1  86120 63616600   4000 903968    0    0  2152     0 1674  681  2  0 96  2  0
 1  1  86120 63616600   4000 903968    0    0  2332    12 1646  710  2  0 96  2  0
 1  1  86120 63616096   4000 903968    0    0  2456     0 1745  756  2  0 96  2  0
 1  1  86120 63616096   4000 903968    0    0  2572     0 1791  860  2  0 96  2  0
 1  1  86120 63615592   4000 903968    0    0  2736     0 1806  838  2  0 96  2  0
 1  1  86120 63615096   4000 903968    0    0  2304     0 1646  706  2  0 96  2  0
 1  1  86120 63614592   4000 903968    0    0  2276     0 1691  698  2  0 96  2  0
 1  1  86120 63614592   4000 903968    0    0  2696     8 1826  904  2  0 96  2  0
 1  1  86120 63614592   4000 903968    0    0  2940     0 1877  884  2  0 96  2  0
 1  1  86120 63614096   4000 903968    0    0  2272     0 1629  706  2  0 96  2  0
 1  1  86120 63613592   4000 903968    0    0  2432     0 1740  748  2  0 96  2  0
 1  1  86120 63613592   4000 903968    0    0  2548     0 1812  840  2  0 96  2  0
 1  1  86120 63613096   4000 903968    0    0  2552     8 1775  752  2  0 96  2  0
 2  0  86120 63612592   4000 903968    0    0  2388     0 1644  709  2  0 96  2  0
 1  1  86120 63612592   4000 903968    0    0  2640     0 1766  775  2  0 96  2  0
 1  1  86120 63612088   4000 903968    0    0  2688   254 1858  950  2  0 96  2  0
 1  1  86120 63612088   4000 903968    0    0  2808     0 1849  876  2  0 96  2  0
 1  1  86120 63611592   4000 903968    0    0  2204     0 1618  680  2  0 96  2  0
 1  1  86120 63611592   4000 903968    0    0  2368     8 1737  752  2  0 96  2  0
 1  1  86120 63611592   4000 903968    0    0  2520     0 1795  872  2  0 96  2  0
 1  1  86120 63611088   4000 903968    0    0  2304     0 1727  718  2  0 96  2  0
 1  1  86120 63610592   4000 903968    0    0  2268     0 1620  668  2  0 96  2  0
 1  1  86120 63610592   4000 903968    0    0  2624     0 1774  782  2  0 96  2  0
 1  1  86120 63610088   4000 903968    0    0  2308     0 1733  808  2  0 96  2  0
 1  1  86120 63610088   4000 903968    0    0  2200     4 1695  704  2  0 96  2  0
 1  1  86120 63609592   4000 903968    0    0  2288     0 1621  676  2  0 96  2  0
 1  1  86120 63609592   4000 903968    0    0  2488     0 1748  752  2  0 96  2  0
 1  1  86120 63609592   4000 903968    0    0  2404     0 1761  838  2  0 96  2  0
 1  1  86120 63609088   4000 903968    0    0  2416     0 1739  762  2  0 96  2  0
 1  1  86120 63609088   4000 903968    0    0  2700     8 1737  806  2  0 96  2  0
 1  1  86120 63608584   4000 903968    0    0  2332     0 1746  746  2  0 96  2  0
 1  1  86120 63608584   4000 903968    0    0  2716     0 1835  902  2  0 96  2  0
 1  1  86120 63608584   4000 903968    0    0  3000     0 1899  932  2  0 96  2  0
 1  1  86120 63608088   4000 903968    0    0  2224     0 1607  676  2  0 96  2  0
 1  1  86120 63607584   4000 903968    0    0  2580     0 1769  786  2  0 96  2  0
 1  1  86120 63607584   4000 903968    0    0  2080     8 1661  702  2  0 96  2  0
 1  1  86120 63607088   4000 903968    0    0  2344     0 1717  734  2  0 96  2  0
 1  1  86120 63607088   4000 903968    0    0  2244     0 1613  678  2  0 96  2  0
 1  1  86120 63606584   4000 903968    0    0  2900     0 1864  874  2  0 96  2  0
 1  1  86120 63606584   4000 903968    0    0  2756     0 1854  934  2  0 96  2  0
 1  1  86120 63606080   4000 903968    0    0  2644     0 1812  836  2  0 96  2  0
 1  1  86120 63606080   4000 903968    0    0  2348     8 1661  732  2  0 96  2  0
 1  1  86120 63605584   4000 903968    0    0  2700     0 1812  852  2  0 96  2  0
 1  1  86120 63605584   4000 903968    0    0  2440     0 1777  866  2  0 96  2  0
 1  1  86120 63605584   4000 903968    0    0  2256     0 1698  712  2  0 96  2  0
 1  1  86120 63605080   4000 903968    0    0  2016   261 1624  694  2  0 96  2  0
 1  1  86120 63605080   4000 903968    0    0  2524     0 1754  772  2  0 96  2  0
 1  1  86120 63605080   4000 903968    0    0  2584    12 1810  894  2  0 96  2  0
 1  1  86120 63604584   4000 903968    0    0  2288     0 1720  764  2  0 96  2  0
 1  1  86120 63604584   4000 903968    0    0  2212     0 1594  642  2  0 96  2  0
 1  1  86120 63604080   4000 903968    0    0  2580     0 1798  802  2  0 96  2  0
